Candidate Id,Employee Id,First Name,Middle Name,Last Name,DegreePercentage,12th/DiplomaPercentage,SSCPercentage,University Name,Native State,Background(CS\NCS),Industrial Training,TrainingExam1Percentage,Exam1Grade,TrainingExam2Percentage,Exam2Grade,IntoProduction,Channel
C0062,E0062,Rahul,,Acharjee,66.9,81.4,82,MADUN,Haryana,CS,N,83,A,80,A,1,Online
C0063,E0063,Shikha,,Acharya,77.18,79.2,83.8,MADUN,Haryana,CS,N,70,B,84,A,1,Referral
C0064,E0064,Ashish,,Acharya,64.7,81.2,84.4,MADUN,Haryana,CS,N,89,A,90,A,1,Online
C0065,,Amit,Singh,Achen,72.6,76.6,72.8,MADUN,Haryana,CS,N,,,,,,Online
,,Shweta,,Adarsh,75,86.4,76.5,MADUN,Haryana,,,,,,,,Referral
C0067,,Gaurav,,Addepalle,71.85,73.3,63.3,MADUN,Haryana,CS,N,,,,,,Campus Recruitment
C0068,E0068,Anshul,,Adharapuram,70.28,68.2,62.2,MADUN,Haryana,CS,N,85,A,97,A,1,Referral
C0069,E0069,Megha,,Adhia,69.82,78.8,82.6,MADUN,Haryana,CS,N,89,A,76,B+,1,Campus Recruitment
C0070,E0070,Priyanka,,Adil,67.52,72.8,79.6,MADUN,Haryana,CS,N,54,C,0,C,0,Online
,,Vinod,Kumar,Adoni,70.3,73.8,77.3,MADUN,Haryana,,,,,,,,Walk in Interviews
C0072,,Megha,,Adwankar,74.9,73.2,80,MADUN,Haryana,CS,N,,,,,,Referral
,,Sahil,,Adwant,62.8,73.4,74.6,MADUN,Haryana,,,,,,,,Campus Recruitment
,,Amandeep,,Aekka,73,78.4,73.33,MADUN,Haryana,,,,,,,,Referral
C0075,E0075,Aman,Prakash,Agarwal,71,73,87,MADUN,Haryana,CS,N,88,A,89,A,1,Campus Recruitment
C0076,,Disha,,Agarwal,67.08,78.3,87.6,MADUN,Haryana,CS,N,,,,,,Online
,,Mayank,,Agarwal,65.6,73.6,78.5,MADUN,Haryana,,,,,,,,Campus Recruitment
C0078,,Shalini,,Agarwal,62.2,72.2,82.2,MADUN,Haryana,CS,N,,,,,,Referral
C0079,E0079,Garima,,Agarwal,68.4,73.4,87.6,MADUN,Haryana,CS,N,76,B+,75,B+,1,Referral
C0080,,Anuja,,Agarwal,77.22,81.6,85.6,MADUN,Haryana,CS,N,,,,,,Walk in Interviews
,,Abhay,,Agarwal,67.51,74.4,80.5,MADUN,Haryana,,,,,,,,Online
C0082,E0082,Manoj,,Agarwal,65.8,72.8,71,MADUN,Haryana,CS,N,65,B,65,B,1,Campus Recruitment
C0083,E0083,Vikesh,Kumar,Agarwal,75.4,79,74.16,MADUN,Haryana,CS,N,89,A,88,A,1,Campus Recruitment
C0084,E0084,Manish,,Agarwal,70.8,77,79.6,MADUN,Haryana,CS,N,85,A,90,A,1,Campus Recruitment
,,Rajat,,Agarwal,70.1,78.2,78.6,MADUN,Haryana,,,,,,,,Campus Recruitment
C0086,,Shivendra,,Agarwal,77.5,86,85.2,MADUN,Haryana,CS,N,,,,,,Campus Recruitment
C0087,,Neha,Chaudhary,Agarwal,78,78,90,MADUN,Haryana,CS,N,,,,,,Referral
,,Ashwani,Kumar,Agarwal,61.75,74,78.4,UPTEU,Uttar Pradesh,,,,,,,,Campus Recruitment
C0089,E0089,Anuj,,Agarwal,72.9,74.2,80.2,UPTEU,Uttar Pradesh,CS,N,80,A,73,B+,1,Walk in Interviews
C0090,,Rahul,,Agarwal,72.67,67.33,83.69,GNDU ,Punjab,CS,N,,,,,,Walk in Interviews
,,Ravish,,Agarwal,69.88,60.22,74.4,KUMAO,Punjab,,,,,,,,Walk in Interviews
C0092,,Gagandeep,,Agarwal,68.25,77.11,80.3,GNDU ,Punjab,CS,N,,,,,,Campus Recruitment
,,Gagandeep,Singh,Agarwal,67.18,82,82.6,GNDU ,Punjab,,,,,,,,Walk in Interviews
C0094,E0094,Sukhdev,,Agarwal,67.68,79.2,85.4,GNDU ,Punjab,CS,N,85,A,86,A,1,Referral
C0095,E0095,Namita,,Agarwal,69.8,70.77,85.6,GNDU ,Punjab,CS,N,79,B,0,C,0,Online
C0096,E0096,Parminder,,Agarwal,65.4,71.11,65.6,GNDU ,Punjab,CS,N,49,C,0,C,0,Online
C0097,E0097,Sheffali,,Agarwal,70.5,80.8,84.7,GNDU ,Punjab,CS,N,89,A,88,A,1,Online
C0098,E0098,Jitin,,Agarwal,67.2,74.4,76.6,GNDU ,Punjab,CS,N,87,A,82,A,1,Referral
C0099,E0099,Nikhil,,Agarwal,64.08,62.6,76.6,GNDU ,Punjab,CS,N,73,B+,77,B+,1,Online
,,Ravneet,Kaur,Agarwal,63.13,60,76.92,GNDU ,Punjab,,,,,,,,Referral
C0101,,Manik,,Agarwal,68.8,70.8,81,GNDU ,Punjab,CS,N,,,,,,Online
C0102,,Navreet,,Agarwal,67.9,62.2,76.2,GNDU ,Punjab,CS,N,,,,,,Referral
C0103,E0103,Manpreet,,Agarwalla,72.9,74,79,GNDU ,Punjab,CS,N,83,A,84,A,1,Online
,,Amiteshwar,,Agasti,66.5,72.2,83.33,UPTEU,Punjab,,,,,,,,Online
C0105,,Amanpreet,Singh,Aggarwal,69.18,77.4,77.07,GNDU ,Punjab,CS,N,,,,,,Referral
C0106,E0106,Vikas,,Aggarwal,68.7,75.77,75.57,UPTEU,Punjab,CS,N,91,A,82,A,1,Campus Recruitment
C0107,E0107,Nitin,,Aggarwal,72.76,77,77.33,GNDU ,Punjab,CS,N,92,A,91,A,1,Campus Recruitment
C0108,E0108,Sukhdeep,Singh,Aggarwal,68.4,68.4,79,HNBGU,Punjab,CS,N,88,A,72,B,1,Campus Recruitment
,,Gagan,Preet,Aggarwal,63,72.2,82.2,HNBGU,Punjab,,,,,,,,Online
C0110,E0110,Ankit,,Aggarwal,65.4,71.4,74.8,HNBGU,Punjab,CS,N,77,B+,91,A,1,Walk in Interviews
C0111,E0111,Ashutosh,,Aggarwal,67.29,64.44,79.66,GNDU ,Punjab,CS,N,70,B,78,B+,1,Referral
C0112,E0112,Taranbir,,Aggarwal,72,76.67,86.46,KUMAO,Punjab,CS,N,88,A,96,A,1,Campus Recruitment
C0113,E0113,Rakesh,,Aggarwal,68.9,63.3,63.3,GNDU ,Punjab,CS,N,90,A,85,A,1,Referral
C0114,E0114,Amanpreet,,Aggarwal,65.1,72,75,GNDU ,Punjab,CS,N,80,A,83,A,1,Campus Recruitment
C0115,E0115,Harjot,,Aggarwal,69,83.14,78.94,UPTEU,Punjab,CS,N,83,A,82,A,1,Online
,,Kavya,,Agrawal,67.2,70.2,74.2,GNDU ,Punjab,,,,,,,,Campus Recruitment
C0117,E0117,Simrat,Kaur,Agrawal,72.95,88,81,GNDU ,Punjab,CS,N,80,A,87,A,1,Referral
C0118,E0118,Jagjit,Singh,Agrawal,72.3,81.6,78.8,GNDU ,Punjab,CS,N,94,A,96,A,1,Referral
C0119,E0119,Sidharth,,Agrawal,73.2,80,86.2,GNDU ,Punjab,CS,N,90,A,83,A,1,Walk in Interviews
C0120,E0120,Aneesh,,Agrawal,74.43,68,86.6,RAJU ,Rajasthan,CS,Y,93,A,90,A,1,Online
,,Aditi,,Agrawal,68.33,71.4,83.2,RAJU ,Rajasthan,,,,,,,,Campus Recruitment
C0122,E0122,Nikhil,,Agrawal,62,66.8,79,RAJU ,Rajasthan,CS,Y,89,A,87,A,1,Campus Recruitment
C0123,E0123,Vishesh,,Agrawal,60.9,72.8,75.2,RAJU ,Rajasthan,CS,Y,73,B+,83,A,1,Campus Recruitment
C0124,E0124,Shaifali,,Aguiar,74.7,73,83.8,RAJU ,Rajasthan,CS,N,82,A,65,B,1,Campus Recruitment
C0125,,Era,,Aguvaveedi,73.77,76.62,85,RAJU ,Rajasthan,CS,Y,,,,,,Campus Recruitment
,,Vinod,Kumar,Agwania,65.36,73.6,67.6,RAJU ,Rajasthan,,,,,,,,Referral
C0127,,Gaurav,,Ahir,75.43,68.2,73.2,RAJU ,Rajasthan,CS,Y,,,,,,Campus Recruitment
C0128,,Neelam,,Ahirwal,83.23,82.4,89.4,RAJU ,Rajasthan,CS,Y,,,,,,Walk in Interviews
,,Sachit,,Ahirwar,76.1,69.4,85.1,RAJU ,Rajasthan,,,,,,,,Walk in Interviews
C0130,E0130,Neetu,,Ahluwalia,82.27,88.8,82.4,RAJU ,Rajasthan,CS,Y,96,A,91,A,1,Walk in Interviews
C0131,E0131,Anurag,,Ahmad,68.13,80.2,78.6,RAJU ,Rajasthan,CS,Y,88,A,86,A,1,Campus Recruitment
,,Abhishek,,Ahmed,64.8,64.4,73.2,RAJU ,Rajasthan,,,,,,,,Walk in Interviews
C0133,,Akshat,,Ahmed,75.37,80,88.83,RAJU ,Rajasthan,CS,Y,,,,,,Referral
C0134,E0134,Sharad,,Ahmed,74.2,70,82.17,RAJU ,Rajasthan,CS,Y,86,A,82,A,1,Online
C0135,E0135,Ravijyot,,Ahobala Naik C V,81.4,76.8,87.33,RAJU ,Rajasthan,CS,Y,91,A,94,A,1,Online
C0136,E0136,Shalu,,Ahuja,64.7,73.4,73,SHIVU,Rajasthan,CS,Y,86,A,85,A,1,Online
,,Ruchika,,Ahuja,77.1,76.6,85.4,RAJU ,Rajasthan,,,,,,,,Referral
,,Sakshi,,Ahuja,63.9,73.2,74.2,RAJU ,Rajasthan,,,,,,,,Online
C0139,E0139,Hitesh,,Ainapure,74.93,73.8,77.3,RAJU ,Rajasthan,CS,Y,91,A,83,A,1,Referral
C0140,E0140,Amit,,Ajantha,64.56,74.8,87,RAJU ,Rajasthan,CS,Y,84,A,82,A,1,Campus Recruitment
C0141,E0141,Shubhendra,Pal,Ajwani,68.5,78,90,RAJU ,Rajasthan,CS,Y,76,B+,77,B+,1,Walk in Interviews
C0142,E0142,Jasraj,Singh,Akella,74.63,77.6,86.2,RAJU ,Rajasthan,CS,Y,86,A,91,A,1,Online
,,Shikha,,Akhade,81.23,81,85.3,RAJU ,Rajasthan,,,,,,,,Campus Recruitment
C0144,E0144,Apurva,,Akkala,71.9,71.2,75.4,RAJU ,Rajasthan,CS,Y,85,A,89,A,1,Referral
C0145,,Prachi,,Akurati,83.93,82.2,81.4,RAJU ,Rajasthan,CS,Y,,,,,,Campus Recruitment
C0146,E0146,Sarah,,Alagarsamy,64.97,81.6,76.4,RAJU ,Rajasthan,CS,Y,80,A,81,A,1,Campus Recruitment
C0147,E0147,Sushmita,,Alam,73.17,71,78,RAJU ,Rajasthan,CS,Y,91,A,81,A,1,Campus Recruitment
C0148,E0148,Abha,Singh,Alam,71.67,71.6,82.8,RAJU ,Rajasthan,CS,Y,92,A,74,B+,1,Referral
C0149,E0149,Sagar,,Alavalappil,69.9,77.84,86,RAJU ,Rajasthan,CS,Y,77,B+,84,A,1,Campus Recruitment
C0150,E0150,Neha,,Alex,71.67,73.4,78,RAJU ,Rajasthan,CS,Y,89,A,77,B+,1,Walk in Interviews
,,Ankit,Kumar,Alex,77.17,74.31,68.67,RAJU ,Rajasthan,,,,,,,,Walk in Interviews
C0152,,Ankur,,Alexander,61.9,68.8,74.8,RAJU ,Rajasthan,CS,Y,,,,,,Walk in Interviews
C0153,,Chinmaya,,Alexkutty,80.53,88.6,80.6,RAJU ,Rajasthan,CS,Y,,,,,,Campus Recruitment
C0154,E0154,Gyanesh,,Alfred,72.97,85.4,78.4,RAJU ,Rajasthan,CS,Y,94,A,96,A,1,Walk in Interviews
C0155,E0155,Krati,,Ali,73.07,75,74.8,RAJU ,Rajasthan,CS,Y,87,A,75,B+,1,Referral
,,Aishwariya,,Ali,77.5,76.4,74.8,RAJU ,Rajasthan,,,,,,,,Online
,,Mudit,,Alla,63,66,80,RAJU ,Rajasthan,,,,,,,,Online
C0158,E0158,Varun,,Almeida,63.03,73.8,82.83,RAJU ,Rajasthan,CS,Y,98,A,90,A,1,Online
,,Puneet,,Alur,68.83,63,71.4,RAJU ,Rajasthan,,,,,,,,Referral
C0160,,Nikhil,,Alva,76.43,83.23,78.83,RAJU ,Rajasthan,CS,Y,,,,,,Online
C0161,E0161,Neha,,Alwar,76.53,79.8,74.8,RAJU ,Rajasthan,CS,N,90,A,88,A,1,Referral
C0162,,Nistha,,Amalapuram,75.16,71.2,76.4,RAJU ,Rajasthan,CS,Y,,,,,,Online
C0163,,Vivek,Mohan,Amin,7.25,65,73.2,BOMU ,Kerala,CS,N,,,,,,Referral
,,John,Gijo,Amin,7.55,69.8,80.2,VTU  ,Kerala,,,,,,,,Online
,,Linda,Mary,Ammanathan,6.9,78.8,92,"NIT, Silchar",Kerala,,,,,,,,Online
,,Betsy,Susan,Amradi,8.03,89,92,VTU  ,Kerala,,,,,,,,Referral
C0167,E0167,Rahul,,Amritkar,66.3,74.2,79.8,UPTEU,Uttar Pradesh,CS,N,91,A,89,A,1,Campus Recruitment
C0168,,Virat,,Amrutia,62.4,92.4,92.5,UPTEU,Uttar Pradesh,CS,N,,,,,,Referral
C0169,E0169,Prasoon,,Anand,64.8,76.6,80,UPTEU,Uttar Pradesh,CS,N,87,A,97,A,1,Campus Recruitment
C0170,E0170,Nikhil,,Anand,71.9,88.6,89.6,UPTEU,Uttar Pradesh,CS,N,94,A,82,A,1,Online
C0171,,Ankit,,Anand,71.23,80.3,81.6,UPTEU,Uttar Pradesh,CS,N,,,,,,Walk in Interviews
C0172,E0172,Pragya,,Anand,66.25,73.4,73,UPTEU,Uttar Pradesh,CS,N,72,B,78,B+,1,Referral
,,Kshitij,,Anand,61.7,70.4,72,UPTEU,Uttar Pradesh,,,,,,,,Campus Recruitment
,,Mani,,Anand,77.26,74.4,78.17,UPTEU,Uttar Pradesh,,,,,,,,Referral
C0175,E0175,Kokil,,Ananda,73.4,86.6,83.4,BOMU ,Uttar Pradesh,CS,N,60,C,63,C,0,Campus Recruitment
C0176,E0176,Abhishek,,Anandan,73.4,86.6,89.6,UPTEU,Uttar Pradesh,CS,N,89,A,95,A,1,Online
C0177,,Garima,,Anandan,69.57,83.8,85.6,UPTEU,Uttar Pradesh,CS,N,,,,,,Campus Recruitment
C0178,E0178,Rohit,,Anandi,76.95,86.4,85.2,UPTEU,Uttar Pradesh,CS,N,96,A,86,A,1,Referral
C0179,E0179,Sushant,,Anang,61.4,66.2,69.8,UPTEU,Uttar Pradesh,CS,N,81,A,71,B,1,Referral
,,Prashant,,Ananth,61.53,84.8,79.3,UPTEU,Uttar Pradesh,,,,,,,,Walk in Interviews
,,Ruchi,,Andiappan,79.73,78.4,77.87,UPTEU,Uttar Pradesh,,,,,,,,Online
,,Vaibhav,,Andini,66.8,77,77.8,UPTEU,Uttar Pradesh,,,,,,,,Campus Recruitment
C0183,E0183,Peeyush,,Andrews,76.85,81.8,83,UPTEU,Uttar Pradesh,CS,N,95,A,90,A,1,Referral
C0184,E0184,Ishita,,Angara,68.33,64.2,73.8,UPTEU,Uttar Pradesh,CS,N,78,B+,78,B+,1,Campus Recruitment
C0185,E0185,Arjita,,Anjaneya Reddy,66.55,71.4,83,UPTEU,Uttar Pradesh,CS,N,85,A,75,B+,1,Campus Recruitment
,,Karan,,Ankalakoti,72.2,90.2,78,UPTEU,Uttar Pradesh,,,,,,,,Campus Recruitment
C0187,E0187,Amit,Singh,Anna,61.6,85.2,77.3,UPTEU,Uttar Pradesh,CS,N,60,C,63,C,0,Referral
C0188,E0188,Shiven,,Annadurai,77.35,94.8,92.5,UPTEU,Uttar Pradesh,CS,N,95,A,91,A,1,Campus Recruitment
C0189,E0189,Apurva,,Anniappan,76.5,88.2,85.8,UPTEU,Uttar Pradesh,CS,N,95,A,99,A,1,Walk in Interviews
C0190,E0190,Navneet,,Anthraper,61.55,79,79.4,UPTEU,Uttar Pradesh,CS,N,89,A,85,A,1,Walk in Interviews
C0191,E0191,Manjri,,Anto,69.45,79,80.5,UPTEU,Uttar Pradesh,CS,N,89,A,93,A,1,Walk in Interviews
,,Nidhi,,Antony Raj,77,79.4,73.2,UPTEU,Uttar Pradesh,,,,,,,,Campus Recruitment
C0193,,Yogesh,Pratap,Anvekar,73.7,86,85.2,RGTUN,Uttar Pradesh,CS,N,,,,,,Walk in Interviews
C0194,E0194,Shivangi,,Aravindan,75.17,77.6,83.4,UPTEU,Uttar Pradesh,CS,N,60,C,63,C,0,Referral
C0195,E0195,Sumit,,Arimbrathodi,77.82,82,77.6,UPTEU,Uttar Pradesh,CS,N,96,A,95,A,1,Online
,,Neha,,Arjunagi,84.45,86.6,89,RGTUN,Uttar Pradesh,,,,,,,,Online
C0197,E0197,Anoop,,Arneja,61.7,67.8,72.2,UPTEU,Uttar Pradesh,CS,N,75,B+,65,B,1,Online
,,Siddharth,,Arnold,60.1,68.2,78.2,UPTEU,Uttar Pradesh,,,,,,,,Referral
,,Anuj,,Arockia Samy,74.7,79.6,71.5,UPTEU,Uttar Pradesh,,,,,,,,Online
,,Amit,Kumar,Arockiasamy,60.4,63.8,70.83,UPTEU,Uttar Pradesh,,,,,,,,Referral
C0201,E0201,Prakhar,,Arora,66.32,93.8,78.66,UPTEU,Uttar Pradesh,CS,N,81,A,85,A,1,Online
C0202,E0202,Rahul,,Arora,82,77.8,76.5,UPTEU,Uttar Pradesh,CS,N,86,A,84,A,1,Referral
C0203,E0203,Gaurav,Kumar,Arora,62.15,82.6,83.4,UPTEU,Uttar Pradesh,CS,N,81,A,73,B+,1,Online
,,Rahul,Mani,Arora,71.4,70,77.2,RGTUN,Uttar Pradesh,,,,,,,,Online
C0205,E0205,Aniket,,Arora,69.25,91,85.8,UPTEU,Uttar Pradesh,CS,N,88,A,93,A,1,Referral
,,Archit,,Arora,80.18,88.6,86.6,DU   ,Uttar Pradesh,,,,,,,,Campus Recruitment
,,Sumit,Kumar,Arora,68.14,74.4,74,UPTEU,Uttar Pradesh,,,,,,,,Referral
,,Neha,,Arora,69.35,90.6,85.6,RGPRV,Uttar Pradesh,,,,,,,,Campus Recruitment
C0209,E0209,Himanshu,,Arora,72.05,85.6,88.3,UPTEU,Uttar Pradesh,CS,N,93,A,80,A,1,Online
,,Ishan,,Arora,60.2,66.2,83.6,UPTEU,Uttar Pradesh,,,,,,,,Walk in Interviews
,,Akshat,,Arora,75.15,89,90.2,UPTEU,Uttar Pradesh,,,,,,,,Referral
C0212,E0212,Prakrati,,Arora,68.7,79,79.2,UPTEU,Uttar Pradesh,CS,N,84,A,89,A,1,Campus Recruitment
C0213,E0213,Pankaj,,Arora,67.02,67,60.66,UPTEU,Uttar Pradesh,CS,N,77,B+,82,A,1,Referral
C0214,E0214,Shobhit,,Arora,68.2,72.8,60.5,UPTEU,Uttar Pradesh,CS,N,88,A,80,A,1,Campus Recruitment
C0215,E0215,Ashish,,Arora,65.2,77.8,78,UPTEU,Uttar Pradesh,CS,N,86,A,87,A,1,Online
C0216,,Nandna,,Arora,77.45,79.4,91.5,UPTEU,Uttar Pradesh,CS,N,,,,,,Campus Recruitment
C0217,E0217,Fakhare,,Arora,72.25,74.4,73,UPTEU,Uttar Pradesh,CS,N,90,A,90,A,1,Referral
,,Sanjoli,,Arora,83.62,83.6,80.83,UPTEU,Uttar Pradesh,,,,,,,,Referral
,,Rashmi,,Arputharaj,68.5,79,93.4,RGTUN,Uttar Pradesh,,,,,,,,Walk in Interviews
,,Aarohi,,Aruchamy,69.72,88,88.4,UPTEU,Uttar Pradesh,,,,,,,,Online
,,Himanshu,,Arunachalam,65.7,74.4,69.2,UPTEU,Uttar Pradesh,,,,,,,,Campus Recruitment
C0222,E0222,Rahul,Kumar,Arunachalam,68.75,87,84,UPTEU,Uttar Pradesh,CS,N,86,A,84,A,1,Referral
,,Saurabh,,Arunachalam,65.8,73.6,79.2,UPTEU,Uttar Pradesh,,,,,,,,Campus Recruitment
C0224,E0224,Indresh,,Arunachalam,69.6,79.4,79.6,UPTEU,Uttar Pradesh,CS,N,88,A,75,B+,1,Campus Recruitment
C0225,E0225,Shubham,,Arya,76.5,69.4,77.3,UPTEU,Uttar Pradesh,CS,N,92,A,99,A,1,Campus Recruitment
C0226,E0226,Arpit,,Arya,66.8,75.6,81,UPTEU,Uttar Pradesh,CS,N,87,A,78,B+,1,Referral
C0227,,Anuj,Kumar,Aryasomayajula,61.4,73.6,63,UPTEU,Uttar Pradesh,CS,N,,,,,,Campus Recruitment
C0228,,Abhinav,,Ashok,76.48,95.4,92,UPTEU,Uttar Pradesh,CS,N,,,,,,Walk in Interviews
C0229,,Saurabh,Kumar,Ashraf,76.9,81.4,71,UPTEU,Uttar Pradesh,CS,N,,,,,,Walk in Interviews
